ID Item,Titolo dell'Item,Autore / Artista,Data,Tipologia (Getty AAT / LCGFT),URL Tipologia,Novella / Riferimento,Istituzione / Luogo di conservazione o edizione,Città,Latitudine,Longitudine,Note sul luogo,Riconciliazione Autorità (VIAF / Wikidata / OL / BnF),Note di riconciliazione,Scheda locale
ITEM-01,Scenes from The Story of Nastagio degli Onesti,Sandro Botticelli,1483,Pittura su tavola,http://vocab.getty.edu/page/aat/300033618,"Decameron, V, 8",Museo Nacional del Prado,"Madrid, Spagna",40.4138,-3.6921,"Pannelli I-III; il pannello IV è in collezione privata, Palazzo Pucci, Firenze",VIAF: Botticelli (https://viaf.org/viaf/179145971392032252190/) | WD: Opera (https://www.wikidata.org/wiki/Q1131019),,item.html
ITEM-02,"The Decameron of Giovanni Boccaccio, illustrated by Rockwell Kent",Rockwell Kent / Garden City Books,1949,Edizione illustrata,http://vocab.getty.edu/page/aat/300028043,Decameron (Completo),Garden City Publishing,"Garden City (New York), USA",40.7268,-73.6343,"Luogo di edizione (opera a stampa, non un esemplare unico conservato)",VIAF: Kent (https://viaf.org/viaf/64016629) | OL: Edizione 1949 (https://openlibrary.org/books/OL51012654M/The_Decameron_of_Giovanni_Boccaccio),,list-items.html
ITEM-03,"Illustrazione della caccia infernale, in The Decameron of Giovanni Boccaccio",Rockwell Kent,1949,Illustrazione,http://vocab.getty.edu/page/aat/300015578,"Decameron, V, 8",Garden City Publishing,"Garden City (New York), USA",40.7268,-73.6343,"Luogo di edizione (opera a stampa, non un esemplare unico conservato)",VIAF: Kent (https://viaf.org/viaf/64016629) | OL: Edizione 1949 (https://openlibrary.org/books/OL51012654M/The_Decameron_of_Giovanni_Boccaccio),,list-items.html
ITEM-04,Il Decameron - Un film di Pier Paolo Pasolini,Pier Paolo Pasolini,1971,Film,http://vocab.getty.edu/page/aat/300136900,Decameron (Adattamento),Cinecittà,"Roma, Italia",41.8558,12.568,Luogo di produzione cinematografica,VIAF: Pasolini (https://viaf.org/viaf/54152321/) | WD: Film (https://www.wikidata.org/wiki/Q720159),,list-items.html
ITEM-05,Decamerone,Aldo Busi (Traduzione/Riscrittura),1991,Edizione a stampa,http://vocab.getty.edu/page/aat/300028051,Decameron (Completo),BUR Rizzoli,"Milano, Italia",45.4642,9.19,Luogo di edizione (opera a stampa),VIAF: Busi (https://viaf.org/viaf/51711200/) | WD: Busi (https://www.wikidata.org/wiki/Q1232810),"Non è stato trovato un record distinto e verificabile con certezza (edizione Busi/Rizzoli 1990-91 disponibile in più varianti); la riconciliazione resta di tipo ""persona"" (VIAF + WD) in attesa di un ISBN/EAN certo.",list-items.html
ITEM-06,Storie di Griselda,Maestro di Griselda (Anonimo),1494 ca.,Pittura su tavola,http://vocab.getty.edu/page/aat/300033618,"Decameron, X, 10",National Gallery,"Londra, Regno Unito",51.5086,-0.1283,,VIAF: Maestro (https://viaf.org/viaf/95836371) | WD: Opera (https://www.wikidata.org/wiki/Q131719743),,list-items.html
ITEM-07,Cimone e Efigenia,Willem van Mieris,1698,Dipinto ad olio,http://vocab.getty.edu/page/aat/300033618,"Decameron, V, 1",Museo Poldi Pezzoli,"Milano, Italia",45.4719,9.1943,,VIAF: Mieris (https://viaf.org/viaf/44570885/) | WD: Opera (https://www.wikidata.org/wiki/Q107557318),,list-items.html
ITEM-08,Isabella and the pot of Basil,William Holman Hunt,1867-1868,Dipinto ad olio,http://vocab.getty.edu/page/aat/300033618,"Decameron, IV, 5",Laing Art Gallery,"Newcastle upon Tyne, Regno Unito",54.9738,-1.6131,,VIAF: Hunt (https://viaf.org/viaf/61618437/) | WD: Opera (https://www.wikidata.org/wiki/Q4198276),,list-items.html
ITEM-09,Ghismunda,Bernardino Mei,1650 ca.,Dipinto ad olio,http://vocab.getty.edu/page/aat/300033618,"Decameron, IV, 1",Pinacoteca Nazionale di Siena,"Siena, Italia",43.3172,11.3308,,"VIAF: Mei (https://viaf.org/viaf/30472483/) | WD: Novella IV,1 (https://www.wikidata.org/wiki/Q43306031)",,list-items.html
ITEM-10,Federigo degli Alberighi,Mirko Basaldella,1967 ca.,Disegno,http://vocab.getty.edu/page/aat/300033973,"Decameron, V, 9",Certaldo,"Certaldo (FI), Italia",43.5486,11.0433,Città natale di Giovanni Boccaccio,"VIAF: Basaldella (https://viaf.org/viaf/69739433/) | WD: Novella V,9 (https://www.wikidata.org/wiki/Q43306049)",,list-items.html
